Project,MetricType,Version,LOC,NOM,NOC,CyclomaticComplexity
pytorch,Code,8,1510078,59250,6984,144705
pytorch,Code,9,1510078,59250,6984,144705
pytorch,Code,10,1509973,59240,6982,144692
pytorch,Code,11,1509973,59240,6982,144692
pytorch,Code,12,1510491,59259,6984,144786
pytorch,Text,1,665907,27998,2721,55718
pytorch,Text,2,665906,27998,2721,55718
pytorch,Text,3,665916,28002,2721,55725
pytorch,Text,4,665916,28002,2721,55725
pytorch,Text,5,665859,27996,2718,55718
pytorch,Text,6,665859,27996,2718,55718
pytorch,Text,7,665766,27992,2718,55711
pytorch,Text,8,665686,27991,2718,55704
pytorch,Text,9,665686,27991,2718,55704
pytorch,Text,10,665686,27991,2718,55704
pytorch,Text,11,665686,27991,2718,55704
pytorch,Text,12,665689,27991,2718,55704
