Version,LOC,NOM,NOC,CyclomaticComplexity
1,40936,1863,311,6941
2,40936,1863,311,6941
3,40936,1863,311,6941
4,40936,1863,311,6941
5,40936,1863,311,6941
6,40936,1863,311,6941
7,40936,1863,311,6941
8,40936,1863,311,6941
9,40936,1863,311,6941
10,40938,1863,311,6941
11,40938,1863,311,6941
12,40938,1863,311,6941
