Version,LOC,NOM,NOC,CyclomaticComplexity
1,1193,55,3,129
2,1193,55,3,129
3,1193,55,3,129
4,1193,55,3,129
5,1193,55,3,129
6,1193,55,3,129
7,1193,55,3,129
8,1193,55,3,129
9,1193,55,3,129
10,1193,55,3,129
11,1193,55,3,129
12,1193,55,3,129
