Version,LOC,NOM,NOC,CyclomaticComplexity
1,165631,3462,1645,16696
2,165631,3462,1645,16696
3,165185,3452,1638,16655
4,165157,3452,1638,16652
5,165145,3452,1638,16652
6,165103,3452,1638,16650
7,165097,3452,1638,16649
8,165088,3452,1638,16645
9,165081,3451,1638,16646
10,165048,3450,1638,16641
11,165051,3450,1638,16642
12,165069,3450,1638,16650
