Version,LOC,NOM,NOC,CyclomaticComplexity
1,493064,19361,2726,53748
2,493064,19361,2726,53748
3,493065,19361,2726,53748
4,493065,19361,2726,53748
5,493065,19361,2726,53748
6,493065,19361,2726,53748
7,493042,19361,2726,53748
8,493042,19361,2726,53748
9,493042,19361,2726,53748
10,492994,19358,2726,53736
11,492994,19358,2726,53736
12,492994,19358,2726,53736
